2015,2016,2017,2018,2019,2020,2021,2022,2023,Overall
10563.67,11307.83,11630.08,11686.17,11024.58,10797.33,11030.50,10598.25,10399.00,10973.62105
10506.67,11204.75,11423.58,11501.50,10875.08,10769.25,10824.92,10073.25,9868.00,10456.68421
10463.17,10914.75,11134.50,11331.25,10864.08,10530.92,10527.17,9910.75,9662.20,10415.47368
10189.33,10780.17,11066.83,11048.67,10497.92,10421.67,10430.25,9820.17,9455.00,10345.84211
9924.33,10607.17,10912.33,10944.75,10354.42,10336.33,10324.42,9663.33,9434.60,10230.96842
9884.00,10588.25,10591.83,10754.58,10315.58,10125.58,10199.67,9541.00,9349.00,10214.86316
9841.67,10244.75,10548.42,10555.08,10138.67,9936.67,10104.00,9393.92,9346.60,9643.684211
9759.50,10052.17,10535.50,10471.67,9991.67,9795.25,9916.42,9355.75,9301.20,9462.978947
9739.83,10025.42,10439.83,10460.75,9953.42,9607.25,9413.25,9322.75,9151.80,9444.2
9510.83,9785.33,10239.08,10417.92,9919.67,9566.92,9384.33,8873.58,8767.20,9308.894737
9370.17,9696.08,10203.25,9930.17,9850.17,9477.08,9379.25,8838.50,8499.40,9254.663158
9181.17,9609.58,10068.75,9880.58,9592.17,9416.17,9360.92,8525.33,8405.80,9175.115789
9073.00,9607.83,9903.75,9728.17,9549.42,9262.17,9327.92,8477.08,8402.80,9102.673684
8996.33,9606.17,9855.58,9662.83,9435.42,9213.33,9288.92,8448.08,8327.60,9022.557895
8826.33,9543.17,9760.67,9648.33,9386.17,9192.67,9280.67,8393.25,8222.80,8947.315789
8820.83,9484.67,9673.25,9582.58,9321.42,9162.00,9208.92,8284.50,8041.20,8895.315789
8740.83,9460.58,9460.42,9460.33,9285.75,9152.42,9013.83,8185.58,7918.80,8857.484211
8616.67,9355.00,9442.75,9360.00,9266.58,9111.25,8887.00,8017.50,7902.40,8828.905263
8473.83,8940.42,9376.33,9093.92,9223.33,9055.42,8707.83,7993.00,7873.80,8762.873684
8461.67,8854.17,9281.83,8978.92,9181.42,8853.75,8668.67,7985.25,7856.40,8755.715789
8390.83,8759.08,8989.17,8930.17,9139.08,8816.25,8649.83,7803.83,7822.80,8680.411765
8160.50,8498.33,8918.33,8849.00,8683.08,8794.25,8634.17,7699.17,7731.20,8680.021053
