,Old Family #,Family Name,Looked at?,Subproblem (currently only for Parallel Algos),Variation,Algo ID,Algorithm Description,Final Call,Exact Problem Statement?,Exact algorithm?,Time Complexity (Average),Average Case Distribution,Reference?,Unnamed: 13,Algorithm Name,Year,Paper/Reference Link,DOI,Authors,Number of Authors,Title,Constants,Derived?,Paper Reference for Constants,Time Complexity Improvement?,Transition Class,Time Complexity Class,Param: Time Class,Time Complexity (Worst Only),Time Encoding,Parameter definitions,Preferred Parameter,Time Complexity Reference,Derived Time Complexity?,Computational Model,Unit of Space,Space Complexity Class,Param: Space Class,Space Complexity (Auxiliary),Space Complexity Reference,Derived Space Complexity?,Space Complexity in Original Paper?,Interesting Space Complexity?,Randomized?,"Type of Randomized Algorithm (e.g. Las Vegas, Monte Carlo, Atlantic City)",Approximate?,Approximation Factor (if approximate algorithm),Heuristic-based?,Parallel?,"# of
Processors",Quantum?,GPU-based?,Other References,Problem Statement,"Algorithm family
parameters",Description of Inputs,Ratios of input parameter sizes,Space n = 1000 value,Space n = 1000 rate,Space n = 10^6 value,Space n = 10^6 rate,Space n = 10^9 value,Space n = 10^9 rate,n = 1000 value,n = 1000 scale,n = 1000 Rate,n = 10^6 value,n = 10^6 scale,n = 10^6 Rate,n = 10^9 value,n = 10^9 scale,n = 10^9 Rate,Starting Complexity,Remarks,Papers for ratio evaluations,Domains
863,96.0,Filtering Problem (Stochastic Processes),1.0,,Filtering Problem (Stochastic Processes),753.0,,0.0,1.0,1.0,O(n^3),,,[ Kalman Filter (1960)],Kalman Filter,1960.0,,,[],0.0,,,,,1.0,0,6,n: 6,O(n^3),30,n: number of dimensions in state space,n,,,Word/Real RAM,words,5,n: 5,O(n^2)?,Generally works with a constant number of O(n)*O(n)-sized matrices per iteration,1.0,0.0,,0.0,,0,,0.0,0,,0.0,0.0,,,,,,1000000.0,,1000000000000.0,,1e+18,,1000000000.0,1,,1E+18,1,,1E+27,1,,3.0,,,Statistics
869,96.0,Filtering Problem (Stochastic Processes),1.0,,Filtering Problem (Stochastic Processes),759.0,,0.0,1.0,1.0,O(n^2 log^2 n),,,[ Maybeck; Peter S Extended Kalman Filter (1979)],Maybeck; Peter S Extended Kalman Filter,1979.0,,,[],0.0,,,,,1.0,0,5.02,n: 5.02,O(n^2 \log^2 n),22,n: number of dimensions in state space,n,,,Word/Real RAM,words,5,n: 5,O(n^2)?,Generally works with a constant number of O(n)*O(n)-sized matrices per iteration,1.0,0.0,,0.0,,0,,0.0,0,,0.0,0.0,,,,,,,,,,,,9931685.0,,,,,,,,,3.0,,,Statistics
871,96.0,Filtering Problem (Stochastic Processes),0.0,,Filtering Problem (Stochastic Processes),761.0,,0.0,1.0,1.0,O(n^2),,,[https://projecteuclid.org/journals/annals-of-applied-probability/volume-8/issue-2/Measure-valued-processes-and-interacting-particle-systems-Application-to-nonlinear/10.1214/aoap/1028903535.full Del Moral; Pierre (1998)],Del Moral; Pierre,1998.0,https://projecteuclid.org/journals/annals-of-applied-probability/volume-8/issue-2/Measure-valued-processes-and-interacting-particle-systems-Application-to-nonlinear/10.1214/aoap/1028903535.full,,[],1.0,,,,,1.0,3->4,5,n: 5,O(n^2),20,n: number of dimensions in state space,n,,,Word/Real RAM,words,#VALUE!,,,,,,,0.0,,0,,0.0,0,,0.0,0.0,,,,,,,,,,,,1000000.0,1000,0.1993539462,1000000000000,1000000,0.4384498883,1E+18,1000000000,0.7252105499,3.0,,,Statistics
