project,article,granularity,timestamp,access,agent,views
en.wikipedia,Algorithm,monthly,2022090100,all-access,user,75909
en.wikipedia,Algorithm,monthly,2022100100,all-access,user,76571
en.wikipedia,Algorithm,monthly,2022110100,all-access,user,79799
en.wikipedia,Algorithm,monthly,2022120100,all-access,user,63602
en.wikipedia,Algorithm,monthly,2023010100,all-access,user,72565
en.wikipedia,Algorithm,monthly,2023020100,all-access,user,69093
en.wikipedia,Algorithm,monthly,2023030100,all-access,user,72173
en.wikipedia,Algorithm,monthly,2023040100,all-access,user,56742
en.wikipedia,Algorithm,monthly,2023050100,all-access,user,61955
en.wikipedia,Dijkstra's_algorithm,monthly,2015070100,all-access,user,57636
en.wikipedia,Dijkstra's_algorithm,monthly,2015080100,all-access,user,65757
en.wikipedia,Dijkstra's_algorithm,monthly,2015090100,all-access,user,71350
en.wikipedia,Dijkstra's_algorithm,monthly,2015100100,all-access,user,98722
en.wikipedia,Dijkstra's_algorithm,monthly,2015110100,all-access,user,101517
en.wikipedia,Dijkstra's_algorithm,monthly,2015120100,all-access,user,94187
en.wikipedia,Dijkstra's_algorithm,monthly,2016010100,all-access,user,72386
en.wikipedia,Dijkstra's_algorithm,monthly,2016020100,all-access,user,84772
en.wikipedia,Dijkstra's_algorithm,monthly,2016030100,all-access,user,92015
en.wikipedia,Dijkstra's_algorithm,monthly,2016040100,all-access,user,111549
en.wikipedia,Dijkstra's_algorithm,monthly,2016050100,all-access,user,105146
en.wikipedia,Dijkstra's_algorithm,monthly,2016060100,all-access,user,74266
en.wikipedia,Dijkstra's_algorithm,monthly,2016070100,all-access,user,56280
en.wikipedia,Dijkstra's_algorithm,monthly,2016080100,all-access,user,61851
en.wikipedia,Dijkstra's_algorithm,monthly,2016090100,all-access,user,76521
en.wikipedia,Dijkstra's_algorithm,monthly,2016100100,all-access,user,124046
en.wikipedia,Dijkstra's_algorithm,monthly,2016110100,all-access,user,121892
en.wikipedia,Dijkstra's_algorithm,monthly,2016120100,all-access,user,105046
en.wikipedia,Dijkstra's_algorithm,monthly,2017010100,all-access,user,81084
en.wikipedia,Dijkstra's_algorithm,monthly,2017020100,all-access,user,96579
en.wikipedia,Dijkstra's_algorithm,monthly,2017030100,all-access,user,106325
en.wikipedia,Dijkstra's_algorithm,monthly,2017040100,all-access,user,133400
en.wikipedia,Dijkstra's_algorithm,monthly,2017050100,all-access,user,104664
en.wikipedia,Dijkstra's_algorithm,monthly,2017060100,all-access,user,72992
en.wikipedia,Dijkstra's_algorithm,monthly,2017070100,all-access,user,57330
en.wikipedia,Dijkstra's_algorithm,monthly,2017080100,all-access,user,58601
en.wikipedia,Dijkstra's_algorithm,monthly,2017090100,all-access,user,80149
en.wikipedia,Dijkstra's_algorithm,monthly,2017100100,all-access,user,105118
en.wikipedia,Dijkstra's_algorithm,monthly,2017110100,all-access,user,115363
en.wikipedia,Dijkstra's_algorithm,monthly,2017120100,all-access,user,95813
en.wikipedia,Dijkstra's_algorithm,monthly,2018010100,all-access,user,75077
en.wikipedia,Dijkstra's_algorithm,monthly,2018020100,all-access,user,81202
en.wikipedia,Dijkstra's_algorithm,monthly,2018030100,all-access,user,93356
en.wikipedia,Dijkstra's_algorithm,monthly,2018040100,all-access,user,107450
en.wikipedia,Dijkstra's_algorithm,monthly,2018050100,all-access,user,106877
en.wikipedia,Dijkstra's_algorithm,monthly,2018060100,all-access,user,70545
en.wikipedia,Dijkstra's_algorithm,monthly,2018070100,all-access,user,60915
en.wikipedia,Dijkstra's_algorithm,monthly,2018080100,all-access,user,58286
en.wikipedia,Dijkstra's_algorithm,monthly,2018090100,all-access,user,67649
en.wikipedia,Dijkstra's_algorithm,monthly,2018100100,all-access,user,89793
en.wikipedia,Dijkstra's_algorithm,monthly,2018110100,all-access,user,98887
en.wikipedia,Dijkstra's_algorithm,monthly,2018120100,all-access,user,91259
en.wikipedia,Dijkstra's_algorithm,monthly,2019010100,all-access,user,73215
en.wikipedia,Dijkstra's_algorithm,monthly,2019020100,all-access,user,72394
en.wikipedia,Dijkstra's_algorithm,monthly,2019030100,all-access,user,92125
en.wikipedia,Dijkstra's_algorithm,monthly,2019040100,all-access,user,94038
en.wikipedia,Dijkstra's_algorithm,monthly,2019050100,all-access,user,88690
en.wikipedia,Dijkstra's_algorithm,monthly,2019060100,all-access,user,63353
en.wikipedia,Dijkstra's_algorithm,monthly,2019070100,all-access,user,53656
en.wikipedia,Dijkstra's_algorithm,monthly,2019080100,all-access,user,53184
en.wikipedia,Dijkstra's_algorithm,monthly,2019090100,all-access,user,68863
en.wikipedia,Dijkstra's_algorithm,monthly,2019100100,all-access,user,94299
en.wikipedia,Dijkstra's_algorithm,monthly,2019110100,all-access,user,104019
en.wikipedia,Dijkstra's_algorithm,monthly,2019120100,all-access,user,94902
en.wikipedia,Dijkstra's_algorithm,monthly,2020010100,all-access,user,73852
en.wikipedia,Dijkstra's_algorithm,monthly,2020020100,all-access,user,75862
en.wikipedia,Dijkstra's_algorithm,monthly,2020030100,all-access,user,74949
en.wikipedia,Dijkstra's_algorithm,monthly,2020040100,all-access,user,88674
en.wikipedia,Dijkstra's_algorithm,monthly,2020050100,all-access,user,91284
en.wikipedia,Dijkstra's_algorithm,monthly,2020060100,all-access,user,75976
en.wikipedia,Dijkstra's_algorithm,monthly,2020070100,all-access,user,63559
en.wikipedia,Dijkstra's_algorithm,monthly,2020080100,all-access,user,55777
en.wikipedia,Dijkstra's_algorithm,monthly,2020090100,all-access,user,66260
en.wikipedia,Dijkstra's_algorithm,monthly,2020100100,all-access,user,90792
en.wikipedia,Dijkstra's_algorithm,monthly,2020110100,all-access,user,104602
en.wikipedia,Dijkstra's_algorithm,monthly,2020120100,all-access,user,98672
en.wikipedia,Dijkstra's_algorithm,monthly,2021010100,all-access,user,78458
en.wikipedia,Dijkstra's_algorithm,monthly,2021020100,all-access,user,76245
en.wikipedia,Dijkstra's_algorithm,monthly,2021030100,all-access,user,94313
en.wikipedia,Dijkstra's_algorithm,monthly,2021040100,all-access,user,97194
